Differential,Result_Final_Txt,Reporting_Limit
"41,14","1,6","0,2"
"40,11","0,7","0,2"
"39,13","0,9","0,27"
"38,13","1,9","0,21"
"37,14","1,4","0,21"
"36,15","0,62","0,2"
"35,17","0,38","0,22"
33,"0,54","0,21"
"32,04","0,58","0,099"
"30,96","0,58","0,2"
