Differential,Result_Final_Txt,Reporting_Limit
"41,21","1,3","0,2"
"40,21","0,43","0,2"
"39,21","0,42","0,27"
"38,21","0,46","0,21"
"38,21","0,48","0,21"
"37,23","0,4","0,2"
"37,23","0,35","0,22"
"36,25","0,37","0,21"
"35,25","0,6","0,099"
"33,25","0,34","0,2"
"31,02","0,91","0,2019"
