Differential,Result_Final_Txt,Reporting_Limit
"25,978","0,86","0,11"
"24,734","0,67","0,11"
"23,954","1,4","0,1"
"22,812","1,4","0,095"
"21,816","0,45","0,1"
"20,969","0,35","0,11"
"19,947",1,"0,11"
"18,868",3,"0,11"
"17,946","0,97","0,11"
"16,647","0,84","0,1"
"15,856","0,55","0,11"
"14,147","0,4","0,1"
"12,901","0,67","0,095"
