Differential,Result_Final_Txt,Reporting_Limit
"40,215","0,4","0,2"
"39,219","0,38","0,2"
"38,124","0,46","0,22"
"37,276","0,34","0,21"
"36,142","0,35","0,19"
"33,076","0,33","0,23"
"31,036","0,65","0,23"
"29,973","1,3","0,11"
"21,015","0,36","0,11"
