Differential,Result_Final_Txt,Reporting_Limit
"40,14","0,46","0,2"
"39,126","0,48","0,2"
"38,224","0,43","0,21"
"35,16","0,5","0,21"
"33,067","0,34","0,2"
"30,055","0,75","0,12"
"29,123","0,41","0,22"
"28,201","0,6","0,22"
"2,969","0,46","0,16"
